stp,month,date,season,days,mcp_mm,mean_outflow
Cabanga,November,30/11/2015,dry,30,20,0.24059
Cabanga,December,31/12/2015,dry,31,69,0.2334
Cabanga,January,31/01/2016,dry,31,103,0.25038
Cabanga,February,29/02/2016,dry,29,41,0.30272
Cabanga,March,31/03/2016,wet,31,179,0.30857
Cabanga,April,30/04/2016,wet,30,303,0.30069
Cabanga,May,31/05/2016,wet,31,422,0.27787
Cabanga,June,30/06/2016,wet,30,144,0.25832
Cabanga,July,31/07/2016,wet,31,113,0.24343
Cabanga,August,31/08/2016,wet,31,61,0.22846
Cabanga,September,30/09/2016,dry,30,44,0.24721
Cabanga,October,31/10/2016,dry,31,12,0.26505
Cabanga,November,30/11/2016,dry,30,12,0.25733
Cabanga,December,31/12/2016,dry,31,48,0.27403
Cabanga,January,31/01/2017,dry,31,21,0.27908
Cabanga,February,28/02/2017,dry,28,23,0.30981
Cabanga,March,31/03/2017,wet,31,130,0.32247
Cabanga,April,30/04/2017,wet,30,243,0.3017
Cabanga,May,31/05/2017,wet,31,311,0.32313
Cabanga,June,30/06/2017,wet,30,441,0.3903
Cabanga,July,31/07/2017,wet,31,419,0.37051
Cabanga,August,31/08/2017,wet,31,120,0.38444
Cabanga,September,30/09/2017,dry,30,68,0.32868
Cabanga,October,31/10/2017,dry,31,44,0.29517
Cabanga,November,30/11/2017,dry,30,10,0.30779
Cabanga,December,31/12/2017,dry,31,27,0.31302
Cabanga,January,31/01/2018,dry,31,115,0.32588
Cabanga,February,28/02/2018,dry,28,127,0.34085
Cabanga,March,31/03/2018,wet,31,149,0.316
Cabanga,April,30/04/2018,wet,30,500,0.33298
Cabanga,May,31/05/2018,wet,31,141,0.31628
Cabanga,June,30/06/2018,wet,30,120,0.50553
Cabanga,July,31/07/2018,wet,31,88,0.51893
Cabanga,August,31/08/2018,wet,31,79,0.51688
Cabanga,September,30/09/2018,dry,30,41,0.58312
Cabanga,October,31/10/2018,dry,31,12,0.65685
Cabanga,November,30/11/2018,dry,30,48,0.69987
Cabanga,December,31/12/2018,dry,31,48,0.72554
Cabanga,January,31/01/2019,dry,31,115,0.60423
Cabanga,February,28/02/2019,dry,28,82,0.60812
Cabanga,March,31/03/2019,wet,31,133,0.56291
Cabanga,April,30/04/2019,wet,30,233,0.57164
Cabanga,May,31/05/2019,wet,31,179,0.61902
Cabanga,June,30/06/2019,wet,30,445,0.78785
Peixinhos,November,30/11/2015,dry,30,20,0.1949
Peixinhos,December,31/12/2015,dry,31,69,0.2132
Peixinhos,January,31/01/2016,dry,31,103,0.1492
Peixinhos,February,29/02/2016,dry,29,41,0.125
